id,Data,Hora,Vazao,Nivel,Chuva
326,2023-02-04,04:30:00,75.77,776.00,0.00
327,2023-02-04,04:00:00,75.77,776.00,0.00
328,2023-02-04,03:30:00,74.24,775.00,0.00
329,2023-02-04,03:00:00,74.24,775.00,0.00
330,2023-02-04,02:30:00,75.77,776.00,0.00
331,2023-02-04,02:00:00,75.77,776.00,0.00
332,2023-02-04,01:30:00,75.77,776.00,0.00
333,2023-02-04,01:00:00,75.77,776.00,0.00
334,2023-02-04,00:30:00,75.77,776.00,0.00
335,2023-02-04,00:00:00,75.77,776.00,0.00
336,2023-02-03,23:30:00,75.77,776.00,0.00
337,2023-02-03,23:00:00,75.77,776.00,0.00
338,2023-02-03,22:30:00,75.77,776.00,0.00
339,2023-02-03,22:00:00,75.77,776.00,0.00
340,2023-02-03,21:30:00,75.77,776.00,0.00
341,2023-02-03,21:00:00,74.24,775.00,0.00
342,2023-02-03,20:30:00,75.77,776.00,0.00
343,2023-02-03,20:00:00,75.77,776.00,0.00
344,2023-02-03,19:30:00,75.77,776.00,0.00
345,2023-02-03,19:00:00,75.77,776.00,0.00
346,2023-02-03,18:30:00,75.77,776.00,0.00
347,2023-02-03,18:00:00,75.77,776.00,0.00
348,2023-02-03,17:30:00,75.77,776.00,0.00
349,2023-02-03,17:00:00,75.77,776.00,0.00
350,2023-02-03,16:30:00,75.77,776.00,0.00
351,2023-02-03,16:00:00,75.77,776.00,0.00
352,2023-02-03,15:30:00,75.77,776.00,0.00
353,2023-02-03,15:00:00,77.30,777.00,0.00
354,2023-02-03,14:30:00,75.77,776.00,0.00
355,2023-02-03,14:00:00,75.77,776.00,0.00
356,2023-02-03,13:30:00,75.77,776.00,0.00
357,2023-02-03,13:00:00,75.77,776.00,0.00
358,2023-02-03,12:30:00,75.77,776.00,0.00
359,2023-02-03,12:00:00,75.77,776.00,0.00
360,2023-02-03,11:30:00,75.77,776.00,0.00
361,2023-02-03,11:00:00,75.77,776.00,0.00
362,2023-02-03,10:30:00,75.77,776.00,0.00
363,2023-02-03,10:00:00,75.77,776.00,0.00
364,2023-02-03,09:30:00,75.77,776.00,0.00
365,2023-02-03,09:00:00,75.77,776.00,0.00
366,2023-02-03,08:30:00,75.77,776.00,0.00
367,2023-02-03,08:00:00,75.77,776.00,0.00
368,2023-02-03,07:30:00,75.77,776.00,0.00
369,2023-02-03,07:00:00,75.77,776.00,0.00
370,2023-02-03,06:30:00,75.77,776.00,0.00
371,2023-02-03,06:00:00,75.77,776.00,0.00
372,2023-02-03,05:30:00,75.77,776.00,0.00
373,2023-02-03,05:00:00,75.77,776.00,0.00
374,2023-02-03,04:30:00,75.77,776.00,0.00
375,2023-02-03,04:00:00,77.30,777.00,0.00
376,2023-02-03,03:30:00,77.30,777.00,0.00
377,2023-02-03,03:00:00,78.84,778.00,0.00
378,2023-02-03,02:30:00,78.84,778.00,0.00
379,2023-02-03,02:00:00,80.38,779.00,0.00
380,2023-02-03,01:30:00,80.38,779.00,0.00
