,data,hora,nível,estado
571,2023-01-25,09:00:00,1.49,Subindo
572,2023-01-25,10:00:00,1.58,Subindo
573,2023-01-25,11:00:00,1.61,Subindo
574,2023-01-25,12:00:00,1.66,Subindo
575,2023-01-25,13:00:00,1.72,Subindo
576,2023-01-25,15:00:00,1.76,Subindo
577,2023-01-25,16:00:00,2.0,Subindo
578,2023-01-25,17:00:00,1.82,Baixando
579,2023-01-25,18:00:00,1.81,Baixando
580,2023-01-25,19:00:00,1.83,Subindo
581,2023-01-25,20:00:00,1.84,Subindo
582,2023-01-25,21:00:00,1.85,Subindo
583,2023-01-25,22:00:00,1.82,Baixando
584,2023-01-25,23:00:00,1.82,Estável
585,2023-01-25,00:00:00,1.79,Baixando
586,2023-01-26,01:00:00,1.82,Subindo
587,2023-01-26,02:00:00,1.82,Estável
588,2023-01-26,03:00:00,1.83,Subindo
589,2023-01-26,04:00:00,1.81,Baixando
590,2023-01-26,05:00:00,1.79,Baixando
591,2023-01-26,06:00:00,1.76,Baixando
592,2023-01-26,07:00:00,1.72,Baixando
593,2023-01-26,08:00:00,1.68,Baixando
594,2023-01-26,09:00:00,1.62,Baixando
595,2023-01-26,10:00:00,1.58,Baixando
596,2023-01-26,12:00:00,1.55,Baixando
597,2023-01-26,13:00:00,1.47,Baixando
598,2023-01-26,14:00:00,1.44,Baixando
599,2023-01-26,15:00:00,1.44,Estável
600,2023-01-26,16:00:00,1.4,Baixando
601,2023-01-26,17:00:00,1.38,Baixando
602,2023-01-26,18:00:00,1.34,Baixando
603,2023-01-26,19:00:00,1.3,Baixando
604,2023-01-26,20:00:00,1.28,Baixando
605,2023-01-26,21:00:00,1.27,Baixando
